language	bert training data	wiki article count 2018	family	script	UD token count	UD link	UD comment
Urdu	TRUE	144000	 IE, Indic	Arabic	138000	https://github.com/UniversalDependencies/UD_Urdu-UDTB/tree/master	
Uzbek	TRUE				NaN	NaN	
Vietnamese	TRUE	1200000	 Austro-Asiatic, Viet-Muong	Latin	58000	https://github.com/UniversalDependencies/UD_Vietnamese-VTB/tree/master	
Volapük	TRUE				NaN	NaN	
Waray-Waray	TRUE				NaN	NaN	
Welsh	TRUE	102000	IE, Celtic	Latin	48000	https://github.com/UniversalDependencies/UD_Welsh-CCG/tree/master	
West Frisian	TRUE				NaN	NaN	
Western Punjabi	TRUE				NaN	NaN	
Yoruba	TRUE	32000	Niger-Congo, Defoid	Latin	8000	https://github.com/UniversalDependencies/UD_Yoruba-YTB/tree/master	test only
Thai	TRUE	129000	Tai-Kadai	Thai	22000	https://github.com/UniversalDependencies/UD_Thai-PUD/tree/master	
Mongolian	TRUE				NaN	NaN	
Ligurian	FALSE		IE, Romance	Latin		https://github.com/UniversalDependencies/UD_Ligurian-GLT/tree/master	
Buryat	FALSE		Mongolic	Cyrillic		https://github.com/UniversalDependencies/UD_Buryat-BDT/tree/master	
Erzya	FALSE		Uralic, Mordvin	Cyrillic		https://github.com/UniversalDependencies/UD_Erzya-JR/tree/master	
Kurmanji	FALSE		 IE, Iranian	Latin		https://github.com/UniversalDependencies/UD_Kurmanji-MG/tree/master	
Komi Zyrian	FALSE		Uralic, Permic	Cyrillic		https://github.com/UniversalDependencies/UD_Komi_Zyrian-Lattice/tree/master	
Maghrebi Arabic French	FALSE		Codeswitching	Latin		https://github.com/UniversalDependencies/UD_Maghrebi_Arabic_French-Arabizi/tree/master	
Maltese	FALSE		 Afro-Asiatic, Semitic	Latin		https://github.com/UniversalDependencies/UD_Maltese-MUDT/tree/master	
Wolof	FALSE		 Niger-Congo, Northern Atlantic	Latin		https://github.com/UniversalDependencies/UD_Wolof-WTB/tree/master	
Uyghur	FALSE		 Turkic, Southeastern	Arabic		https://github.com/UniversalDependencies/UD_Uyghur-UDT/tree/master	
Turkish German	FALSE		Codeswitching	Latin		https://github.com/UniversalDependencies/UD_Turkish_German-SAGT/tree/master	
North Sámi	FALSE		Uralic, Sami	Latin		https://github.com/UniversalDependencies/UD_North_Sami-Giella/tree/master	
Naija	FALSE		Creole	Latin		https://github.com/UniversalDependencies/UD_Naija-NSC/tree/master	
Moksha	FALSE		Uralic, Mordvin	Cyrillic		https://github.com/UniversalDependencies/UD_Moksha-JR/tree/master	
