	Language	Classes	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
31	Romanian	Gen,Acc,Nom,Nom,Dat,Voc,Acc,Dat,Gen	0.9408909194745859	0.40776062582482064	0.46551723655373317	0.6438072311750629	0.2801160915963244	0.903912050256996	0.8442318675042833
32	Dutch	Nom,Acc	0.9761904761904762	0.9673913043478262	0.1707982749781356	0.9565217391304348	0.9565217391304348	0.9682539682539683	0.9682539682539683
33	Komi_Zyrian	Gen,Ela,Ine,Ill,Nom,Dat,Loc,Egr,Acc	0.5509391007398976	0.05604260930766261	0.2850351530406268	0.06184112596360481	0.0498628526645768	0.6303357996585088	0.6129766647694934
34	Chinese_(Simplified)	Gen	1.0	1.0	0.0	1.0	1.0	1.0	1.0
35	Chinese_(Traditional)	Gen	1.0	1.0	0.0	1.0	1.0	1.0	1.0
36	Polish	Gen,Nom,Dat,Loc,Voc,Acc,Ins	0.5212744639636631	0.3569925825348809	0.04861752189787438	0.31944094054452776	0.18052216746701472	0.43410593814708437	0.3494756529289961
37	Tamil	Gen,Com,Nom,Dat,Loc,Acc,Ins	0.85995085995086	0.5205839513632163	0.4875275892225045	0.33188652048841316	0.14285714285714285	0.7874692874692875	0.7027027027027027
38	Hungarian	Gen,Loc,Cau,Ela,Ine,Abl,Sup,Acc,Ade,Tem,Ter,Dat,Tra,Ins,Abs,Sbl,Ill,Nom,All,Ess,Dis,Del	0.7427385892116183	0.16061217883221005	0.42880290774148044	0.2160661086620284	0.04925244030255964	0.734637423434104	0.656392017387868
39	Russian	Gen,Nom,Dat,Loc,Par,Voc,Acc,Ins	0.5932755673100808	0.40374168012071976	0.12046416904817647	0.2946845440555653	0.125	0.4351155076932069	0.2911144556307261
40	Czech	Gen,Nom,Dat,Loc,Voc,Acc,Ins	0.5111086581302934	0.3370464130012443	0.019795889565818126	0.40984769503570506	0.23095460773789855	0.5154437442299201	0.33938104604021996
41	Latvian	Gen,Nom,Dat,Loc,Voc,Acc	0.6210250436808387	0.5273211196697137	0.17924148189087652	0.400819055765524	0.19562218805946138	0.5511939429237042	0.35294117647058826
42	Icelandic	Gen,Dat,Nom,Acc	0.6401275000875687	0.6014476000012695	-0.06835871383797576	0.5539607137003034	0.25	0.6379207678027251	0.41104767242285195
43	Afrikaans	Acc,Nom,Nom,Acc	0.8435700575815739	0.4623494353041344	0.07769507000331688	1.0	0.6666666666666666	1.0	0.9961612284069098
44	Slovenian	Gen,Nom,Dat,Loc,Acc,Ins	0.5493228685749462	0.49311335922271865	0.12467071858673767	0.48789838884624315	0.2646437801291938	0.5164666051092643	0.34418282548476453
45	English	Gen,Nom,Acc	0.9252283105022832	0.8416576725445784	0.18562123781073114	0.8374648743069796	0.5347993686638742	0.9240867579908676	0.7511415525114156
46	Irish	Gen,Dat,Nom,Voc	0.7950111928365846	0.37067646600991794	0.07683926683005582	0.5770711062492624	0.25	0.8522545570834665	0.7451231212024304
47	Swedish	Gen,Nom,Acc	0.9834797430182247	0.8406415039298955	0.2681358795825336	0.7292558296371229	0.7262142148161633	0.9777107643896683	0.9690572964468336
48	Marathi	Abs,Com,Abl,Erg,Nom,Dat,Loc,Acc,Ins	0.5571428571428572	0.25965879998138064	0.10178571428571431	0.32755550900712194	0.2583670809477261	0.5571428571428572	0.5428571428571428
49	Norwegian_(Bokmal)	Gen,Nom,Acc	0.9716459197786999	0.9323348610875346	0.25102922085325097	0.7038913597012392	0.6457518248175182	0.8858921161825726	0.8651452282157677
50	Bulgarian	Voc,Dat,Nom,Acc	0.8894422310756972	0.48588084325430014	0.2596406538688796	0.613815215122883	0.4821852731591449	0.9332669322709163	0.8844621513944223
51	Armenian	Gen,Abl,Nom,Dat,Loc,Ins	0.8229638009049773	0.650317206126776	0.2917793645135983	0.5120586118762253	0.30669140267320144	0.6668552036199095	0.4677601809954751
52	Latin	Gen,Abl,Nom,Dat,Voc,Loc,Acc	0.7027521410160472	0.37044162312083684	-0.007708923184462146	0.4695073406955046	0.22007983454125263	0.6746487070757462	0.4921426789723123
