	Language	Classes	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Majority Baseline Balanced Accuracy	Random Baseline Balanced Accuracy	Majority Baseline Accuracy	Random Baseline Accuracy
24	Ukrainian	INTJ,ADV,PRON,_,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8559916516899531	0.6614376917514023	0.32419270682358403	0.5421568464094135	0.5128750730720816	0.718534407791756	0.5287842773494116
25	Vietnamese	INTJ,ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8200478959972631	0.6805613256548516	0.06457406773862473	0.6383706529665475	0.5921218675876053	0.7843824837495723	0.7261375299349982
26	Turkish_German	INTJ,ADV,PRON,_,PART,DET,ADJ,CCONJ,X,ADP,VERB,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8364775446994228	0.7672618974971279	0.08390820779952135	0.6293131247074529	0.6145013903466032	0.6972406025622976	0.6932986062227228
27	Serbian	ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.9076263024253568	0.7955946473293787	0.2843884073198494	0.6925949521177932	0.6379428781427356	0.7903861308116628	0.6811137378513265
28	Danish	INTJ,ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8393694502643919	0.7256626261400188	0.12990122717749175	0.6528789308330526	0.5800619103796587	0.7801057567594533	0.6870198543350294
29	Telugu	INTJ,ADV,PRON,PART,DET,ADJ,CCONJ,ADP,VERB,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8474341192787794	0.6881183860349898	0.2011095700416088	0.6931528424195726	0.633695662050013	0.8085991678224688	0.7545076282940361
30	Catalan	INTJ,ADV,PRON,_,PART,DET,ADJ,CCONJ,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.9134099864349848	0.7810275792306837	0.13950972159421227	0.6868528219084991	0.6451417653232313	0.8320198953555972	0.7292810541954654
31	Spanish	INTJ,ADV,PRON,_,PART,DET,ADJ,CCONJ,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.9170996566045199	0.8163428418868661	0.17284838460293772	0.6655950154325848	0.6266625646622485	0.814296758418583	0.7434781827007785
32	Korean	ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.7902770922935909	0.648779508677363	0.4147571035747021	0.4555537323714011	0.4308320212016889	0.5950081082986675	0.4490939857575971
33	French	INTJ,ADV,PRON,_,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8985915492957747	0.8012337197171236	0.1593006313744536	0.6919707245790161	0.6112647954225842	0.8169985429820301	0.7236522583778533
34	Italian	INTJ,ADV,PRON,_,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8821947283485745	0.8186163766122592	0.13349471041778738	0.6867192824885593	0.642136533008011	0.812085350546889	0.7302313071543841
35	Uyghur	INTJ,ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.6766698935140368	0.3536652034076373	0.29903194578896425	0.7297408327421366	0.6647188560683623	0.8293320425943853	0.7070667957405615
36	Arabic	ADV,PRON,_,PART,X,ADJ,CCONJ,DET,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8853919980057335	0.8422104859509231	0.26093730524741365	0.7746845944387212	0.7056475187313485	0.80281339474667	0.651377290290415
37	Norwegian_(Nynorsk)	INTJ,ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8434989706535341	0.8124953989887299	0.14027368506034799	0.7286181699059188	0.6678765423211537	0.7848867718887499	0.6671779760222823
38	Urdu	ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8119005808456031	0.7950892565026798	0.0552478724841281	0.7846846515516569	0.7079466144108559	0.8339862218019721	0.7413210860461975
39	Kurmanji	ADV,PRON,PART,DET,ADJ,CCONJ,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.6137377341659233	0.4139610368934309	0.1940727525027257	0.3424560389824395	0.3052215761169273	0.5996629993061751	0.47239567846169095
40	Welsh	ADV,PRON,_,PART,DET,ADJ,CCONJ,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8288043478260869	0.7933515655713279	0.06082331174838107	0.7542972299023594	0.6827826154327259	0.8224444958371878	0.737222479185939
41	Romanian	INTJ,ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8498529772114678	0.7388545987127	0.2142857142857143	0.6523906016338683	0.6228163956833817	0.7926978681695663	0.6740994854202401
42	Dutch	INTJ,ADV,PRON,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.859585632859857	0.7522564194542789	0.18746041798606705	0.6146291340158786	0.5730452210105338	0.7668506287885641	0.6442594770650503
43	Komi_Zyrian	ADV,PRON,ADJ,CCONJ,ADP,VERB,AUX,NOUN,SCONJ,PUNCT,PROPN	0.3609504651747548	0.21061585103512045	0.08209705808398288	0.22778603368060324	0.20915540275400873	0.49006789036962534	0.35390998239879307
44	Chinese_(Simplified)	ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.7567432567432567	0.707403769548165	0.13336663336663335	0.6604442482348192	0.6311775856367784	0.7473359973359973	0.6322843822843823
45	Chinese_(Traditional)	ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.7543290043290043	0.7488957128995057	0.1312021312021312	0.6808953979639366	0.6335989895877396	0.7469197469197469	0.644022644022644
46	Polish	INTJ,ADV,PRON,_,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8551644717415697	0.6777913750974802	0.29129510423433536	0.5401570974235426	0.4935948353451163	0.7333018366503278	0.6268824189452549
47	Tamil	ADV,PRON,_,PART,DET,ADJ,CCONJ,ADP,VERB,AUX,NOUN,PUNCT,PROPN,NUM	0.7457627118644068	0.7006615832921333	0.2730187814933578	0.6226915668828802	0.5788486355460455	0.6559780119102153	0.5602382043060009
48	Hungarian	INTJ,ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8626531393568146	0.7306717430589564	0.29843032159264926	0.6369272090883855	0.5973084213139797	0.7405245022970903	0.626531393568147
49	Russian	ADV,PRON,_,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8894859768718075	0.7858037671150943	0.3075847052642905	0.6371923994016979	0.6186480480130375	0.7331080011899562	0.6326010038673578
50	Persian_(Farsi)	INTJ,ADV,PRON,_,PART,DET,ADJ,CCONJ,ADP,VERB,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8405992877317942	0.814290125247181	0.1578042490482623	0.7544373663994912	0.6910023404258143	0.8533709934913423	0.6391174423840518
51	Czech	INTJ,ADV,PRON,_,PART,DET,ADJ,X,CCONJ,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8851151051107008	0.7755572123154513	0.3241972004359144	0.6173343158537183	0.5913826942504055	0.7420877588241604	0.614074613634182
52	Indonesian	INTJ,ADV,PRON,_,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8789574805780637	0.8103071922093097	0.21627265892573722	0.7177496202284476	0.6596554066913439	0.7356110600618161	0.64789908946621
53	Latvian	INTJ,ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8174302629473572	0.659218225128526	0.2791615552829484	0.5724540677099758	0.5157308340919065	0.7276388074030615	0.5822443863672729
54	Icelandic	INTJ,ADV,PRON,_,PART,DET,ADJ,CCONJ,X,ADP,VERB,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.8081750885098166	0.6381956419899446	0.09564066802560534	0.5825838751196649	0.5431045619301514	0.7870471694739477	0.7060615813753889
55	Afrikaans	ADV,PRON,PART,DET,ADJ,CCONJ,X,ADP,VERB,SYM,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.9113584418165557	0.8573133909437681	0.11825499354069358	0.7499144214396583	0.7008372800201428	0.8721057338765775	0.7661731094107125
56	Portuguese	INTJ,ADV,PRON,_,DET,ADJ,CCONJ,ADP,VERB,AUX,NOUN,SCONJ,PUNCT,PROPN,NUM	0.89022238309617	0.724028237422921	0.19701151505553927	0.5908707041216739	0.5765708608100412	0.7693821686310884	0.7118634481822501
